lon,lat,zone_type,cluster_id,poi_id
114.06307200583286,22.52269577983562,Residential,1,0
113.88753921404401,22.588853720624634,Residential,7,1
113.81126706444532,22.725978638687707,Industrial,2,2
113.92630726045385,22.526546536819126,Residential,0,3
113.88926082603523,22.565038350077778,Residential,7,4
113.89759216548694,22.559407704790143,Residential,7,5
114.24456184775781,22.729256167280383,Residential,5,6
114.02097098216659,22.630951263207553,Residential,4,7
114.04282237521981,22.554879936431366,Residential,1,8
113.89651124485684,22.596759103374204,Residential,7,9
114.04102457009299,22.545454098603784,Residential,1,10
113.92008098971408,22.569728244040697,Residential,0,11
113.86960795000002,22.482944800000002,Industrial,0,12
113.82846065862554,22.756783974580046,Industrial,2,13
114.12792848445335,22.61586397485537,Residential,3,14
114.01712904999998,22.53225315,Commercial,1,15
113.84862599755542,22.593666990257923,Residential,7,16
114.00297284775071,22.63914529378558,Residential,4,17
113.92427237830012,22.701997325348746,Industrial,6,18
114.1690021735995,22.606540964147587,Residential,3,19
113.94442157051512,22.537875554622513,Commercial,0,20
113.85818179999998,22.75944105,Industrial,2,21
113.89682406548692,22.55873900479014,Residential,7,22
113.9099275202898,22.513319265929983,Residential,0,23
113.85373007854137,22.577359203973497,Residential,7,24
114.1028503628387,22.629936528875877,Residential,3,25
113.8761526,22.574693500000006,Residential,7,26
113.86298607498516,22.587675300603717,Commercial,7,27
113.85348806901435,22.620495258268285,Commercial,7,28
113.90265783696636,22.552441940666636,Industrial,0,29
113.94250140000001,22.550482350000003,Residential,0,30
113.89142700000001,22.559102449999997,Residential,7,31
114.02456094593374,22.64182843429104,Residential,4,32
113.94255302360526,22.544186670459833,Industrial,0,33
113.91881933478682,22.49374843245489,Residential,0,34
113.79652428201025,22.774586208938366,Industrial,2,35
113.91144019999999,22.583827400000004,Residential,7,36
114.06806315950934,22.571911098734326,Residential,1,37
113.93672069803175,22.502387586005533,Residential,0,38
114.12369651970573,22.544747306191027,Residential,3,39
113.90156304856679,22.574796550303972,Commercial,7,40
114.03711635,22.611526249999997,Residential,4,41
113.86467530126018,22.556590890187152,Residential,7,42
114.07570670058789,22.52987259980676,Residential,1,43
113.93429963051682,22.69395060207665,Residential,6,44
114.10466970421636,22.54507693365697,Commercial,1,45
114.04813896225069,22.567710538042725,Commercial,1,46
113.82981119624829,22.74653967130285,Residential,2,47
113.9619443,22.5380933,Commercial,0,48
114.03446500008528,22.56825426889505,Residential,1,49
114.10658127248,22.568474590957393,Residential,3,50
113.83798273768869,22.756192713071066,Industrial,2,51
113.9258161,22.627989949999996,Industrial,6,52
114.10470500741108,22.601365577035846,Residential,3,53
114.16084178818274,22.567233415361923,Residential,3,54
114.0715653,22.5210636,Commercial,1,55
114.15713109859111,22.61099652413692,Commercial,3,56
114.05013325955947,22.57139832317788,Residential,1,57
113.86107462017216,22.560340535504306,Residential,7,58
113.91192325562743,22.583612252498867,Residential,7,59
113.98386272781329,22.537508648195164,Residential,0,60
113.8757202,22.5476274,Commercial,7,61
113.78703182158212,22.692057624333447,Industrial,2,62
113.83141838269108,22.606228043577744,Industrial,7,63
114.1177339896425,22.54602359754479,Commercial,3,64
114.07938617445906,22.5532030519801,Residential,1,65
113.98451688355745,22.59163226758381,Residential,4,66
113.92393356764582,22.494054342622054,Residential,0,67
114.01400959484188,22.547280273668477,Residential,1,68
113.89183924361328,22.585786871172008,Residential,7,69
113.92821115206345,22.507253166730244,Commercial,0,70
114.04123357114942,22.68666217030694,Residential,4,71
114.13706845540092,22.605184027837296,Residential,3,72
114.0403614428596,22.56103675729516,Residential,1,73
113.94113527843311,22.677650493416067,Residential,6,74
113.89036579711563,22.55286230081633,Commercial,7,75
114.0335281051541,22.61612893844884,Residential,4,76
113.86101355000001,22.568062700000002,Residential,7,77
113.83239297379095,22.760606043866698,Industrial,2,78
114.05465745863087,22.56679994394001,Commercial,1,79
114.0763944,22.536803349999996,Residential,1,80
113.8783102363257,22.57064733515699,Residential,7,81
114.09835626386656,22.553455374502274,Residential,1,82
113.91762947018728,22.571387079223584,Residential,7,83
113.91480361515823,22.580180445891926,Commercial,7,84
